Bin Center,Probability Density
-884.17310999999995,3.5096016372003965e-07
-849.41132999999991,2.6465848411675121e-07
-814.64954999999998,1.1506890613771791e-08
-779.88776999999993,3.4520671841315375e-08
-745.12599,1.9331576231136609e-06
-710.36420999999996,3.4117930669833364e-06
-675.60242999999991,3.4348068482108798e-06
-640.84064999999998,1.5609097117581435e-05
-606.07886999999994,2.4584471796323435e-05
-571.31709000000001,3.8352466415701385e-05
-536.55530999999996,6.0255832699015987e-05
-501.79352999999992,0.00010944203662758351
-467.03174999999999,0.00015713234477636071
-432.26996999999994,0.00022588601619364716
-397.50818999999996,0.00028424896538669769
-362.74640999999997,0.00042622673522472093
-327.98462999999992,0.00052489256879250713
-293.22284999999994,0.00071225351521124643
-258.46106999999995,0.00092624140651025348
-223.69928999999996,0.0010621377846588983
-188.93750999999997,0.0013186493902210992
-154.17572999999993,0.00141052615832676
-119.41394999999994,0.0016341683308507217
-84.652169999999956,0.0017772277484064394
-49.890389999999911,0.0018549107669400128
-15.128609999999924,0.0018965311902900254
19.633170000000064,0.0019592034700179335
54.394950000000108,0.0018585296840380441
89.156730000000096,0.001780938720629381
123.91851000000003,0.0016185880009596746
158.68029000000001,0.0014380506406749022
193.44207000000006,0.0012210652043710074
228.2038500000001,0.001059485446372424
262.96563000000015,0.00084018712505516116
297.72741000000008,0.00068048299022662243
332.48919000000001,0.00054384441763338928
367.25097000000005,0.00043675554013632216
402.0127500000001,0.00028543417511991617
436.77453000000014,0.00020955773841270498
471.53631000000007,0.00013448103060315094
506.29809,7.9426312461559795e-05
541.05987000000005,5.7718563318679306e-05
575.82165000000009,3.6712734503238901e-05
610.58343000000013,2.5671872959324868e-05
645.34521000000018,1.6627456936900239e-05
680.10699000000011,8.4403042652016099e-06
714.86877000000004,3.9180962539892952e-06
749.63055000000008,2.8422019816016326e-06
784.39233000000013,1.0356201552394613e-07
819.15411000000017,4.4301528863021397e-07
