Bin Center                Probability Density     
-561.32191000000012       1.2206722590894309e-07  
-538.38373000000001       9.2422328188199766e-07  
-515.44555000000003       4.9350035617472701e-06  
-492.50737000000004       3.2958150995414634e-06  
-469.56919000000005       1.0489062340604181e-05  
-446.63101000000006       3.0717345491229034e-05  
-423.69283000000001       4.5260783549523106e-05  
-400.75465000000003       6.5715762976835998e-05  
-377.81647000000004       8.5708630763207887e-05  
-354.87829000000005       0.00013474477922834332  
-331.94011                0.00018233355915770128  
-309.00193000000002       0.00027420658482931078  
-286.06375000000003       0.00038318646030330219  
-263.12557000000004       0.00054791618166742087  
-240.18738999999999       0.0006870379428533563   
-217.24921000000001       0.00094915115323011682  
-194.31103000000002       0.0010955882288830238   
-171.37285000000003       0.0013200872955047001   
-148.43467000000001       0.0016478813925080368   
-125.49648999999999       0.0018609584544196619   
-102.55831000000001       0.0021032444596737841   
-79.620129999999989       0.0024222845927619366   
-56.681949999999972       0.0026122386344513819   
-33.743769999999984       0.0026594437745278833   
-10.805589999999995       0.0026921752292466098   
12.132589999999993        0.0028490490527147317   
35.070769999999982        0.0026995079818887113   
58.008950000000027        0.0025696458916967257   
80.947130000000072        0.0023602046892996741   
103.88531000000006        0.0021149716324486076   
126.82349000000005        0.0018779868324339595   
149.76167000000004        0.0015146711726911203   
172.69985000000003        0.0013442653253222356   
195.63803000000001        0.0010846370549014786   
218.57621                 0.00090048120644270816  
241.51438999999999        0.00069410040378094511  
264.45257000000004        0.00052285752400582782  
287.39075000000008        0.00037420580011142992  
310.32893000000007        0.00028529726421189477  
333.26711000000006        0.00021096704272091334  
356.20529000000005        0.00013824113334187803  
379.14347000000004        8.9588624729599294e-05  
402.08165000000002        6.6892839798100807e-05  
425.01983000000007        3.1449748846682692e-05  
447.95801000000006        2.355025551286109e-05   
470.89619000000005        9.1986373809953535e-06  
493.83437000000004        8.9545029291774681e-06  
516.77255000000002        3.7666458280473867e-06  
539.71073000000013        1.2206722590894309e-06  
562.64891000000011        7.8471788084320556e-08  
